Data de Criação,Data de Vencimento,Data do Pagamento,Descrição,Valor,Método de Pagamento,Taxa,Valor Pago,Pago,Categoria,Cliente,Tipo,Observação,Usuário,Usuário do Pagamento
28/05/2026,28/05/2026,28/05/2026,#399 - Pix,1500.0,Pix,0.0,1500.0,Sim,Pedido,Cliente 105,Receita,,,
28/05/2026,28/05/2026,28/05/2026,#396 - Pix,380.0,Pix,0.0,380.0,Sim,Pedido,Cliente 62,Receita,,,
28/05/2026,28/05/2026,28/05/2026,#395 - Pix,410.0,Pix,0.0,410.0,Sim,Pedido,Cliente 27,Receita,,,
28/05/2026,28/05/2026,28/05/2026,#394 - Pix,310.0,Pix,0.0,310.0,Sim,Pedido,Cliente 80,Receita,,,
28/05/2026,28/05/2026,28/05/2026,#393 - Pix,390.0,Pix,0.0,390.0,Sim,Pedido,Cliente 102,Receita,,,
28/05/2026,28/05/2026,27/05/2026,#382 - Pix,300.0,Pix,0.0,300.0,Sim,Pedido,Cliente 20,Receita,,,
28/05/2026,28/05/2026,28/05/2026,#376 - Dinheiro,650.0,Dinheiro,0.0,650.0,Sim,Pedido,Cliente 76,Receita,,,
28/05/2026,28/05/2026,28/05/2026,#405 - Pix,430.0,Pix,0.0,430.0,Sim,Pedido,Cliente 48,Receita,,,
27/05/2026,27/05/2026,27/05/2026,#380 - Pix,208.0,Pix,0.0,208.0,Sim,Pedido,Cliente 45,Receita,,,
27/05/2026,27/05/2026,27/05/2026,#381 - Pix,200.0,Pix,0.0,200.0,Sim,Pedido,Cliente 54,Receita,,,
27/05/2026,27/05/2026,27/05/2026,#379 - Pix,80.0,Pix,0.0,80.0,Sim,Pedido,Cliente 19,Receita,,,
27/05/2026,27/05/2026,27/05/2026,#378 - Pix,180.0,Pix,0.0,180.0,Sim,Pedido,Cliente 45,Receita,,,
27/05/2026,27/05/2026,27/05/2026,#378 - Dinheiro,20.0,Dinheiro,0.0,20.0,Sim,Pedido,Cliente 45,Receita,,,
27/05/2026,27/05/2026,27/05/2026,#375 - Pix,380.0,Pix,0.0,380.0,Sim,Pedido,Cliente 32,Receita,,,
27/05/2026,27/05/2026,27/05/2026,#374 - Pix,140.0,Pix,0.0,140.0,Sim,Pedido,Cliente 36,Receita,,,
27/05/2026,27/05/2026,27/05/2026,#372 - Pix,120.0,Pix,0.0,120.0,Sim,Pedido,Cliente 20,Receita,,,
27/05/2026,27/05/2026,,#386,200.0,,0.0,0.0,Não,Pedido,Cliente 19,Receita,,,
28/05/2026,27/05/2026,28/05/2026,#392 - Pix,380.0,Pix,0.0,380.0,Sim,Pedido,Cliente 105,Receita,,,
28/05/2026,27/05/2026,28/05/2026,#402 - Pix,300.0,Pix,0.0,300.0,Sim,Pedido,Cliente 66,Receita,,,
28/05/2026,27/05/2026,28/05/2026,#390 - Pix,300.0,Pix,0.0,300.0,Sim,Pedido,Cliente 20,Receita,,,
28/05/2026,27/05/2026,28/05/2026,#400 - Pix,430.0,Pix,0.0,430.0,Sim,Pedido,Cliente 48,Receita,,,
28/05/2026,27/05/2026,28/05/2026,#389 - Pix,380.0,Pix,0.0,380.0,Sim,Pedido,Cliente 56,Receita,,,
28/05/2026,27/05/2026,28/05/2026,#383 - Pix,100.0,Pix,0.0,100.0,Sim,Pedido,Cliente 26,Receita,,,
28/05/2026,27/05/2026,28/05/2026,#407 - Pix,380.0,Pix,0.0,380.0,Sim,Pedido,Cliente 74,Receita,,,
28/05/2026,27/05/2026,28/05/2026,#387 - Pix,380.0,Pix,0.0,380.0,Sim,Pedido,Cliente 32,Receita,,,
28/05/2026,27/05/2026,28/05/2026,#388 - Pix,200.0,Pix,0.0,200.0,Sim,Pedido,Cliente 53,Receita,,,
28/05/2026,27/05/2026,27/05/2026,#383 - Dinheiro,300.0,Dinheiro,0.0,300.0,Sim,Pedido,Cliente 26,Receita,,,
28/05/2026,27/05/2026,28/05/2026,#391 - Pix,220.0,Pix,0.0,220.0,Sim,Pedido,Cliente 22,Receita,,,
26/05/2026,26/05/2026,26/05/2026,#372 - Dinheiro,100.0,Dinheiro,0.0,100.0,Sim,Pedido,Cliente 20,Receita,,,
26/05/2026,26/05/2026,26/05/2026,#371 - Pix,150.0,Pix,0.0,150.0,Sim,Pedido,Cliente 19,Receita,,,
25/05/2026,25/05/2026,25/05/2026,#370 - Pix,150.0,Pix,0.0,150.0,Sim,Pedido,Cliente 68,Receita,,,
25/05/2026,25/05/2026,25/05/2026,#369 - Dinheiro,250.0,Dinheiro,0.0,250.0,Sim,Pedido,Cliente 69,Receita,,,
25/05/2026,25/05/2026,25/05/2026,#369 - Pix,110.0,Pix,0.0,110.0,Sim,Pedido,Cliente 69,Receita,,,
25/05/2026,25/05/2026,25/05/2026,#368 - Dinheiro,30.0,Dinheiro,0.0,30.0,Sim,Pedido,Cliente 86,Receita,,,
25/05/2026,25/05/2026,25/05/2026,#368 - Pix,300.0,Pix,0.0,300.0,Sim,Pedido,Cliente 86,Receita,,,
25/05/2026,25/05/2026,25/05/2026,#368 - Dinheiro,50.0,Dinheiro,0.0,50.0,Sim,Pedido,Cliente 86,Receita,,,
24/05/2026,24/05/2026,24/05/2026,#366 - Pix,380.0,Pix,0.0,380.0,Sim,Pedido,Cliente 24,Receita,,,
24/05/2026,24/05/2026,24/05/2026,#365 - Dinheiro,380.0,Dinheiro,0.0,380.0,Sim,Pedido,Cliente 12,Receita,,,
24/05/2026,24/05/2026,24/05/2026,#364 - Dinheiro,450.0,Dinheiro,0.0,450.0,Sim,Pedido,Cliente 94,Receita,,,
24/05/2026,24/05/2026,24/05/2026,#364 - Pix,240.0,Pix,0.0,240.0,Sim,Pedido,Cliente 94,Receita,,,
24/05/2026,24/05/2026,24/05/2026,#362 - Pix,200.0,Pix,0.0,200.0,Sim,Pedido,Cliente 29,Receita,,,
24/05/2026,24/05/2026,24/05/2026,#363 - Pix,380.0,Pix,0.0,380.0,Sim,Pedido,Cliente 29,Receita,,,
24/05/2026,24/05/2026,21/05/2026,#349 - Pix,380.0,Pix,0.0,380.0,Sim,Pedido,Cliente 93,Receita,,,
24/05/2026,24/05/2026,21/05/2026,#348 - Pix,290.0,Pix,0.0,290.0,Sim,Pedido,Cliente 102,Receita,,,
24/05/2026,24/05/2026,24/05/2026,#345 - Pix,330.0,Pix,0.0,330.0,Sim,Pedido,Cliente 36,Receita,,,
24/05/2026,23/05/2026,24/05/2026,#359 - Pix,380.0,Pix,0.0,380.0,Sim,Pedido,Cliente 52,Receita,,,
24/05/2026,23/05/2026,24/05/2026,#344 - Dinheiro,350.0,Dinheiro,0.0,350.0,Sim,Pedido,Cliente 86,Receita,,,
24/05/2026,23/05/2026,24/05/2026,#361 - Pix,380.0,Pix,0.0,380.0,Sim,Pedido,Cliente 20,Receita,,,
24/05/2026,23/05/2026,24/05/2026,#360 - Pix,80.0,Pix,0.0,80.0,Sim,Pedido,Cliente 36,Receita,,,
24/05/2026,22/05/2026,24/05/2026,#354 - Pix,80.0,Pix,0.0,80.0,Sim,Pedido,Cliente 40,Receita,,,
24/05/2026,22/05/2026,24/05/2026,#355 - Pix,200.0,Pix,0.0,200.0,Sim,Pedido,Cliente 08,Receita,,,
24/05/2026,22/05/2026,22/05/2026,#350 - Pix,760.0,Pix,0.0,760.0,Sim,Pedido,Cliente 81,Receita,,,
24/05/2026,22/05/2026,24/05/2026,#351 - Pix,400.0,Pix,0.0,400.0,Sim,Pedido,Cliente 44,Receita,,,
24/05/2026,22/05/2026,24/05/2026,#353 - Pix,380.0,Pix,0.0,380.0,Sim,Pedido,Cliente 53,Receita,,,
24/05/2026,22/05/2026,24/05/2026,#358 - Pix,100.0,Pix,0.0,100.0,Sim,Pedido,Cliente 44,Receita,,,
24/05/2026,22/05/2026,22/05/2026,#357 - Dinheiro,200.0,Dinheiro,0.0,200.0,Sim,Pedido,Cliente 14,Receita,,,
24/05/2026,22/05/2026,24/05/2026,#352 - Pix,200.0,Pix,0.0,200.0,Sim,Pedido,Cliente 29,Receita,,,
24/05/2026,22/05/2026,24/05/2026,#356 - Pix,580.0,Pix,0.0,580.0,Sim,Pedido,Cliente 98,Receita,,,
24/05/2026,21/05/2026,21/05/2026,#347 - Pix,580.0,Pix,0.0,580.0,Sim,Pedido,Cliente 60,Receita,,,
24/05/2026,21/05/2026,21/05/2026,#346 - Pix,380.0,Pix,0.0,380.0,Sim,Pedido,Cliente 90,Receita,,,
19/05/2026,19/05/2026,19/05/2026,#342 - Pix,320.0,Pix,0.0,320.0,Sim,Pedido,Cliente 19,Receita,,,
18/05/2026,18/05/2026,18/05/2026,#341 - Pix,400.0,Pix,0.0,400.0,Sim,Pedido,Cliente 56,Receita,,,
18/05/2026,18/05/2026,18/05/2026,#340 - Pix,400.0,Pix,0.0,400.0,Sim,Pedido,Cliente 90,Receita,,,
18/05/2026,18/05/2026,18/05/2026,#339 - Pix,400.0,Pix,0.0,400.0,Sim,Pedido,Cliente 80,Receita,,,
18/05/2026,18/05/2026,18/05/2026,#331 - Pix,15.0,Pix,0.0,15.0,Sim,Pedido,Cliente 94,Receita,,,
18/05/2026,18/05/2026,18/05/2026,#333 - Pix,200.0,Pix,0.0,200.0,Sim,Pedido,Cliente 79,Receita,,,
18/05/2026,18/05/2026,18/05/2026,#337 - Pix,100.0,Pix,0.0,100.0,Sim,Pedido,,Receita,,,
18/05/2026,18/05/2026,18/05/2026,#336 - Dinheiro,0.01,Dinheiro,0.0,0.01,Sim,Pedido,Cliente 46,Receita,,,
18/05/2026,18/05/2026,18/05/2026,#335 - Pix,200.0,Pix,0.0,200.0,Sim,Pedido,Cliente 13,Receita,,,
18/05/2026,18/05/2026,18/05/2026,Benzemar,3900.0,,0.0,3900.0,Sim,Fornecedor,,Despesa,,,
18/05/2026,18/05/2026,18/05/2026,Recarga pay,1105.34,,0.0,1105.34,Sim,,,Despesa,,,
18/05/2026,18/05/2026,18/05/2026,#338 - Pix,380.0,Pix,0.0,380.0,Sim,Pedido,Cliente 13,Receita,,,
17/05/2026,17/05/2026,17/05/2026,#332 - Cartão de Crédito,200.0,Cartão de Crédito,0.0,200.0,Sim,Pedido,Cliente 27,Receita,,,
17/05/2026,17/05/2026,17/05/2026,#331 - Pix,210.0,Pix,0.0,210.0,Sim,Pedido,Cliente 94,Receita,,,
17/05/2026,17/05/2026,17/05/2026,#330 - Dinheiro,200.0,Dinheiro,0.0,200.0,Sim,Pedido,Cliente 99,Receita,,,
17/05/2026,17/05/2026,17/05/2026,#328 - Pix,205.0,Pix,0.0,205.0,Sim,Pedido,Cliente 57,Receita,,,
17/05/2026,17/05/2026,17/05/2026,#327 - Pix,450.0,Pix,0.0,450.0,Sim,Pedido,Cliente 46,Receita,,,
17/05/2026,17/05/2026,17/05/2026,#326 - Pix,200.0,Pix,0.0,200.0,Sim,Pedido,Cliente 29,Receita,,,
17/05/2026,17/05/2026,17/05/2026,#325 - Dinheiro,200.0,Dinheiro,0.0,200.0,Sim,Pedido,Cliente 42,Receita,,,
17/05/2026,17/05/2026,17/05/2026,#324 - Pix,380.0,Pix,0.0,380.0,Sim,Pedido,Cliente 80,Receita,,,
17/05/2026,17/05/2026,17/05/2026,#319 - Pix,380.0,Pix,0.0,380.0,Sim,Pedido,Cliente 49,Receita,,,
17/05/2026,17/05/2026,17/05/2026,#323 - Pix,145.0,Pix,0.0,145.0,Sim,Pedido,Cliente 28,Receita,,,
17/05/2026,17/05/2026,17/05/2026,#321 - Pix,210.0,Pix,0.0,210.0,Sim,Pedido,Cliente 56,Receita,,,
16/05/2026,16/05/2026,16/05/2026,#316 - Pix,380.0,Pix,0.0,380.0,Sim,Pedido,Cliente 29,Receita,,,
16/05/2026,16/05/2026,16/05/2026,#317 - Pix,210.0,Pix,0.0,210.0,Sim,Pedido,Cliente 21,Receita,,,
16/05/2026,16/05/2026,16/05/2026,#315 - Pix,380.0,Pix,0.0,380.0,Sim,Pedido,Cliente 02,Receita,,,
16/05/2026,16/05/2026,16/05/2026,#318 - Pix,190.0,Pix,0.0,190.0,Sim,Pedido,Cliente 61,Receita,,,
16/05/2026,16/05/2026,16/05/2026,#314 - Pix,380.0,Pix,0.0,380.0,Sim,Pedido,Cliente 16,Receita,,,
16/05/2026,16/05/2026,16/05/2026,#312 - Pix,290.0,Pix,0.0,290.0,Sim,Pedido,Cliente 19,Receita,,,
16/05/2026,16/05/2026,16/05/2026,#313 - Pix,168.0,Pix,0.0,168.0,Sim,Pedido,Cliente 99,Receita,,,
16/05/2026,16/05/2026,16/05/2026,#311 - Pix,200.0,Pix,0.0,200.0,Sim,Pedido,Cliente 28,Receita,,,
16/05/2026,16/05/2026,16/05/2026,#309 - Pix,200.0,Pix,0.0,200.0,Sim,Pedido,Cliente 28,Receita,,,
16/05/2026,16/05/2026,16/05/2026,#291 - Pix,200.0,Pix,0.0,200.0,Sim,Pedido,Cliente 28,Receita,,,
16/05/2026,16/05/2026,16/05/2026,Voo rio,669.27,Cartão de Crédito,0.0,669.27,Sim,,,Despesa,,,
16/05/2026,16/05/2026,16/05/2026,Voo sp,590.87,,0.0,590.87,Sim,,,Despesa,,,
16/05/2026,16/05/2026,16/05/2026,#308 - Pix,210.0,Pix,0.0,210.0,Sim,Pedido,Cliente 64,Receita,,,
16/05/2026,16/05/2026,16/05/2026,#306 - Pix,220.0,Pix,0.0,220.0,Sim,Pedido,Cliente 50,Receita,,,
16/05/2026,16/05/2026,16/05/2026,#305 - Pix,350.0,Pix,0.0,350.0,Sim,Pedido,Cliente 31,Receita,,,
16/05/2026,16/05/2026,16/05/2026,#304 - Pix,365.0,Pix,0.0,365.0,Sim,Pedido,Cliente 28,Receita,,,
16/05/2026,16/05/2026,16/05/2026,Cartão mae,6700.0,,0.0,6700.0,Sim,,,Despesa,,,
16/05/2026,16/05/2026,16/05/2026,Juros caixinha,480.0,,0.0,480.0,Sim,,,Despesa,,,
16/05/2026,16/05/2026,16/05/2026,Aluguel,500.0,Dinheiro,0.0,500.0,Sim,,,Despesa,,,
16/05/2026,16/05/2026,16/05/2026,#303 - Dinheiro,100.0,Dinheiro,0.0,100.0,Sim,Pedido,Cliente 99,Receita,,,
17/05/2026,16/05/2026,16/05/2026,#322 - Pix,380.0,Pix,0.0,380.0,Sim,Pedido,Cliente 80,Receita,,,
15/05/2026,15/05/2026,15/05/2026,#301 - Pix,210.0,Pix,0.0,210.0,Sim,Pedido,Cliente 20,Receita,,,
16/05/2026,15/05/2026,15/05/2026,#296 - Pix,40.0,Pix,0.0,40.0,Sim,Pedido,Cliente 43,Receita,,,
15/05/2026,15/05/2026,15/05/2026,#295 - Pix,290.0,Pix,0.0,290.0,Sim,Pedido,Cliente 29,Receita,,,
16/05/2026,15/05/2026,15/05/2026,#299 - Pix,450.0,Pix,0.0,450.0,Sim,Pedido,Cliente 97,Receita,,,
16/05/2026,15/05/2026,15/05/2026,#297 - Pix,380.0,Pix,0.0,380.0,Sim,Pedido,Cliente 80,Receita,,,
16/05/2026,15/05/2026,15/05/2026,#293 - Pix,80.0,Pix,0.0,80.0,Sim,Pedido,Cliente 97,Receita,,,
16/05/2026,15/05/2026,15/05/2026,#302 - Pix,200.0,Pix,0.0,200.0,Sim,Pedido,Cliente 67,Receita,,,
16/05/2026,15/05/2026,15/05/2026,#310 - Pix,380.0,Pix,0.0,380.0,Sim,Pedido,Cliente 91,Receita,,,
16/05/2026,15/05/2026,15/05/2026,#294 - Pix,380.0,Pix,0.0,380.0,Sim,Pedido,Cliente 51,Receita,,,
16/05/2026,15/05/2026,15/05/2026,#300 - Pix,380.0,Pix,0.0,380.0,Sim,Pedido,Cliente 44,Receita,,,
16/05/2026,15/05/2026,15/05/2026,#307 - Pix,200.0,Pix,0.0,200.0,Sim,Pedido,Cliente 64,Receita,,,
14/05/2026,14/05/2026,14/05/2026,#292 - Dinheiro,200.0,Dinheiro,0.0,200.0,Sim,Pedido,Cliente 67,Receita,,,
14/05/2026,14/05/2026,14/05/2026,#290 - Pix,210.0,Pix,0.0,210.0,Sim,Pedido,Cliente 04,Receita,,,
14/05/2026,14/05/2026,14/05/2026,#289 - Pix,380.0,Pix,0.0,380.0,Sim,Pedido,Cliente 19,Receita,,,
14/05/2026,14/05/2026,14/05/2026,#288 - Pix,210.0,Pix,0.0,210.0,Sim,Pedido,Cliente 82,Receita,,,
16/05/2026,14/05/2026,14/05/2026,#298 - Pix,210.0,Pix,0.0,210.0,Sim,Pedido,Cliente 49,Receita,,,
13/05/2026,13/05/2026,13/05/2026,#287 - Pix,210.0,Pix,0.0,210.0,Sim,Pedido,Cliente 54,Receita,,,
13/05/2026,13/05/2026,13/05/2026,#262 - Pix,200.0,Pix,0.0,200.0,Sim,Pedido,Cliente 11,Receita,,,
13/05/2026,13/05/2026,13/05/2026,#286 - Pix,150.0,Pix,0.0,150.0,Sim,Pedido,Cliente 11,Receita,,,
13/05/2026,13/05/2026,13/05/2026,#285 - Dinheiro,260.0,Dinheiro,0.0,260.0,Sim,Pedido,Cliente 84,Receita,,,
13/05/2026,13/05/2026,13/05/2026,#284 - Cartão de Crédito,150.0,Cartão de Crédito,0.0,150.0,Sim,Pedido,Cliente 27,Receita,,,
13/05/2026,13/05/2026,13/05/2026,Adição de Crédito,40.0,Dinheiro,0.0,40.0,Sim,Conta do Cliente,Cliente 84,Receita,,,
13/05/2026,13/05/2026,13/05/2026,#283 - Pix,400.0,Pix,0.0,400.0,Sim,Pedido,Cliente 20,Receita,,,
13/05/2026,13/05/2026,13/05/2026,#282 - Pix,210.0,Pix,0.0,210.0,Sim,Pedido,Cliente 36,Receita,,,
13/05/2026,13/05/2026,13/05/2026,#281 - Pix,210.0,Pix,0.0,210.0,Sim,Pedido,Cliente 90,Receita,,,
13/05/2026,13/05/2026,13/05/2026,#280 - Dinheiro,0.0,Dinheiro,0.0,0.0,Sim,Pedido,Cliente 29,Receita,,,
12/05/2026,12/05/2026,12/05/2026,#278 - Pix,450.0,Pix,0.0,450.0,Sim,Pedido,Cliente 57,Receita,,,
12/05/2026,12/05/2026,12/05/2026,#277 - Dinheiro,300.0,Dinheiro,0.0,300.0,Sim,Pedido,Cliente 19,Receita,,,
12/05/2026,12/05/2026,12/05/2026,#279 - Pix,455.0,Pix,0.0,455.0,Sim,Pedido,Cliente 29,Receita,,,
12/05/2026,12/05/2026,12/05/2026,#275 - Pix,210.0,Pix,0.0,210.0,Sim,Pedido,Cliente 36,Receita,,,
