Número,Status,Data,Data de Entrega,Data de Vencimento,Data do Pagamento,Quantidade,Descrição,Desconto,Entrega,Taxa de Vendas,Total,Valor Pago,Custo,Lucro,Tipos de Pagamento,,,Observação
399,Finalizado,28/05/2026 21:47:08,,,28/05/2026 21:47:07,5,"4g x Escova (400,00)
1g x Desodorante (440,00)",540.0,,,1500.0,1500.0,710.0,790,Pix,,,
396,Finalizado,28/05/2026 21:40:52,,,28/05/2026 21:40:50,1,"1g x Escova (380,00)",0.0,,,380.0,380.0,140.0,240,Pix,,,
395,Finalizado,28/05/2026 21:28:47,,,28/05/2026 21:28:46,2,"1g x Desodorante (370,00)
1x Caneta 15cm (40,00)",0.0,,,410.0,410.0,164.4,245.6,Pix,,,
394,Finalizado,28/05/2026 21:26:22,,,28/05/2026 21:26:21,1,"1g x Desodorante (300,00)",0.0,10.0,,310.0,310.0,150.0,150,Pix,,,
393,Finalizado,28/05/2026 20:00:57,,,28/05/2026 20:00:56,2,"1g x Desodorante (400,00)
1x Isqueiro Mini (40,00)",50.0,,,390.0,390.0,167.0,223,Pix,,,
384,Finalizado,28/05/2026 16:23:08,,,28/05/2026 23:05:44,0.5,"0,5g x Escova (400,00)",0.0,,,200.0,200.0,70.0,130,Pix,,,
409,Finalizado,28/05/2026 02:56:07,,,29/05/2026 00:17:22,3,"2g x Desodorante (275,00)
1x Caneta 15cm (40,00)",0.0,,,590.0,590.0,314.4,275.6,Outro,,,
397,Finalizado,27/05/2026 23:06:51,,,28/05/2026 23:08:28,0.4,"0,4g x Escova (400,00)",20.0,,,140.0,140.0,56.0,84,Pix,,,Josué
386,Pendente,27/05/2026 23:06:16,,27/05/2026 00:00:00,,0.5,"0,5g x Escova (400,00)",0.0,,,200.0,0.0,70.0,130,,,,
407,Finalizado,27/05/2026 22:54:28,,27/05/2026 00:00:00,28/05/2026 23:04:58,1,"1g x Escova (380,00)",0.0,,,380.0,380.0,140.0,240,Pix,,,
404,Finalizado,27/05/2026 22:44:54,,,29/05/2026 15:39:24,1,"1g x Desodorante (300,00)",0.0,,,300.0,300.0,150.0,150,Pix,,,
402,Finalizado,27/05/2026 22:41:49,,27/05/2026 00:00:00,28/05/2026 23:04:58,1,"1g x Desodorante (300,00)",0.0,,,300.0,300.0,150.0,150,Pix,,,
401,Finalizado,27/05/2026 22:36:12,,,28/05/2026 23:04:58,0.5,"0,5g x Desodorante (440,00)",0.0,,,220.0,220.0,75.0,145,Pix,,,
383,Finalizado,27/05/2026 21:52:19,,27/05/2026 00:00:00,28/05/2026 21:53:14,1,"1g x Desodorante (440,00)",40.0,,,400.0,400.0,150.0,250,"Dinheiro, Pix",,,
398,Finalizado,27/05/2026 21:45:50,,,28/05/2026 23:04:58,1,"0,5g x Escova (400,00)
0,5g x Desodorante (440,00)",70.0,,,350.0,350.0,145.0,205,Pix,,,
392,Finalizado,27/05/2026 19:45:01,27/05/2026 00:00:00,27/05/2026 00:00:00,28/05/2026 23:04:58,1,"1g x Escova (380,00)",0.0,,,380.0,380.0,140.0,240,Pix,,,
391,Finalizado,27/05/2026 19:42:57,,27/05/2026 00:00:00,28/05/2026 23:04:58,0.5,"0,5g x Desodorante (440,00)",0.0,,,220.0,220.0,75.0,145,Pix,,,
390,Finalizado,27/05/2026 19:42:08,27/05/2026 00:00:00,27/05/2026 00:00:00,28/05/2026 23:04:58,1,"1g x Desodorante (300,00)",0.0,,,300.0,300.0,150.0,150,Pix,,,
389,Finalizado,27/05/2026 19:38:35,,27/05/2026 00:00:00,28/05/2026 23:04:58,1,"1g x Escova (380,00)",0.0,,,380.0,380.0,140.0,240,Pix,,,
388,Finalizado,27/05/2026 19:37:25,27/05/2026 00:00:00,27/05/2026 00:00:00,28/05/2026 23:04:58,0.5,"0,5g x Escova (400,00)",0.0,,,200.0,200.0,70.0,130,Pix,,,
387,Finalizado,27/05/2026 19:36:01,27/05/2026 00:00:00,27/05/2026 00:00:00,28/05/2026 23:04:58,1,"1g x Escova (380,00)",0.0,,,380.0,380.0,140.0,240,Pix,,,
376,Finalizado,27/05/2026 17:55:51,,,28/05/2026 17:55:58,2,"1g x Escova (325,00)
1g x Desodorante (325,00)",0.0,,,650.0,650.0,290.0,360,Dinheiro,,,
382,Finalizado,27/05/2026 17:13:39,,,28/05/2026 19:04:02,1,"1g x Desodorante (300,00)",0.0,,,300.0,300.0,150.0,150,Pix,,,
381,Finalizado,27/05/2026 17:12:39,,,27/05/2026 17:22:33,0.5,"0,5g x Escova (400,00)",0.0,,,200.0,200.0,70.0,130,Pix,,,
380,Finalizado,27/05/2026 16:16:54,,,27/05/2026 17:32:14,0.5,"0,3g x Escova (400,00)
0,2g x Desodorante (440,00)",0.0,,,208.0,208.0,72.0,136,Pix,,,
378,Finalizado,27/05/2026 16:15:34,,,27/05/2026 15:50:01,0.5,"0,4g x Escova (400,00)
0,1g x Brinquedo (400,00)",0.0,,,200.0,200.0,72.0,128,"Dinheiro, Pix",,,
379,Finalizado,27/05/2026 16:14:09,,,27/05/2026 16:14:08,1,"1x Hidratante 30ml (80,00)",0.0,,,80.0,80.0,10.0,70,Pix,,,
375,Finalizado,27/05/2026 13:43:43,,,27/05/2026 13:43:43,1,"1g x Escova (380,00)",0.0,,,380.0,380.0,140.0,240,Pix,,,
374,Finalizado,27/05/2026 13:42:17,,,29/05/2026 15:44:10,0.5,"0,5g x Escova (400,00)",0.0,,,200.0,200.0,70.0,130,"Pix, Fiado",,,
377,Finalizado,27/05/2026 00:13:29,,,29/05/2026 00:13:36,1.1,"1g x Desodorante (300,00)
0,1g x Escova (400,00)",40.0,,,300.0,300.0,164.0,136,Pix,,,
373,Finalizado,26/05/2026 21:51:56,,,28/05/2026 23:08:28,1,"1g x Escova (380,00)",0.0,,,380.0,380.0,140.0,240,Pix,,,
372,Finalizado,26/05/2026 21:47:20,,,27/05/2026 13:41:20,0.5,"0,5g x Desodorante (440,00)",0.0,,,220.0,220.0,75.0,145,"Dinheiro, Pix",,,
371,Finalizado,26/05/2026 05:04:54,,,26/05/2026 21:41:30,0.5,"0,5g x Brinquedo (400,00)",50.0,,,150.0,150.0,80.0,70,Pix,,,
370,Finalizado,25/05/2026 23:20:00,,,25/05/2026 23:20:39,0.5,"0,5g x Brinquedo (400,00 - 100,00)",100.0,,,150.0,150.0,80.0,70,Pix,,,
369,Finalizado,25/05/2026 16:39:32,,,25/05/2026 16:33:04,1,"1x Condicionador SP (160,00)",0.0,,,160.0,360.0,130.0,30,"Pix, Dinheiro",,,
368,Finalizado,25/05/2026 15:07:32,,,25/05/2026 15:06:52,1,"1x Condicionador SP (380,00)",0.0,,,380.0,380.0,130.0,250,"Dinheiro, Pix, Dinheiro",,,
366,Finalizado,24/05/2026 19:16:18,,,24/05/2026 19:16:17,1,"1g x Escova (380,00)",0.0,,,380.0,380.0,140.0,240,Pix,,,
365,Finalizado,24/05/2026 18:29:55,,,24/05/2026 18:29:54,1,"1g x Escova (380,00)",0.0,,,380.0,380.0,140.0,240,Dinheiro,,,
364,Finalizado,24/05/2026 06:31:15,,,24/05/2026 06:31:14,2,"2g x Escova (350,00)",10.0,,,690.0,690.0,280.0,410,"Pix, Dinheiro",,,
363,Finalizado,24/05/2026 06:19:54,,,24/05/2026 06:19:53,1,"1g x Escova (380,00)",0.0,,,380.0,380.0,140.0,240,Pix,,,Enviei qrcode
362,Finalizado,24/05/2026 06:19:17,,,24/05/2026 06:20:17,0.5,"0,5g x Escova (400,00)",0.0,,,200.0,200.0,70.0,130,Pix,,,Enviei qrcode 
345,Finalizado,24/05/2026 02:30:34,,,24/05/2026 02:31:22,2,"1g x Escova (400,00 - 20,00)
1x Hidratante Brinde 30ml (0,00)",20.0,,,380.0,380.0,150.0,230,"Pix, Fiado",,,Enviei qrcode
344,Finalizado,23/05/2026 06:29:56,,23/05/2026 00:00:00,24/05/2026 06:30:08,1,"1g x Escova (350,00)",0.0,,,350.0,350.0,140.0,210,Dinheiro,,,Dei 2qrcodw
361,Finalizado,23/05/2026 06:17:03,,23/05/2026 00:00:00,24/05/2026 06:22:20,1,"1x Loção 1G (380,00)",0.0,,,380.0,380.0,142.0,238,Pix,,,Dei 2 qrcode 
360,Finalizado,23/05/2026 06:16:13,,23/05/2026 00:00:00,24/05/2026 06:22:20,1,"1x Hidratante 30ml (80,00)",0.0,,,80.0,80.0,10.0,70,Pix,,,
359,Finalizado,23/05/2026 06:04:14,,23/05/2026 00:00:00,24/05/2026 06:22:20,1,"1g x Escova (380,00)",0.0,,,380.0,380.0,140.0,240,Pix,,,Enviei 2
357,Finalizado,22/05/2026 12:35:02,,,24/05/2026 05:57:10,1,"1x Loção 0.5 (200,00)",0.0,,,200.0,200.0,72.0,128,Dinheiro,,,Enviei qrcode
358,Finalizado,22/05/2026 05:58:51,,22/05/2026 00:00:00,24/05/2026 06:23:53,1,"1x Loção 1G (380,00)",280.0,,,100.0,100.0,142.0,-42,Pix,,,
356,Finalizado,22/05/2026 05:55:44,,22/05/2026 00:00:00,24/05/2026 06:23:53,2,"1x Loção 1G (380,00)
1x Loção 0.5 (200,00)",0.0,,,580.0,580.0,214.0,366,Pix,,,Dei 3 qrcode
354,Finalizado,22/05/2026 05:53:50,,22/05/2026 00:00:00,24/05/2026 06:23:53,1,"1x Hidratante 30ml (80,00)",0.0,,,80.0,80.0,10.0,70,Pix,,,
355,Finalizado,22/05/2026 05:53:19,,22/05/2026 00:00:00,24/05/2026 06:23:53,1,"1x Loção 0.5 (200,00)",0.0,,,200.0,200.0,72.0,128,Pix,,,Dei qrcode
353,Finalizado,22/05/2026 05:44:26,22/05/2026 00:00:00,22/05/2026 00:00:00,24/05/2026 06:23:53,1,"1x Loção 1G (380,00)",0.0,,,380.0,380.0,142.0,238,Pix,,,Enviei qrcode
352,Finalizado,22/05/2026 05:43:25,22/05/2026 00:00:00,22/05/2026 00:00:00,24/05/2026 06:23:53,1,"1x Loção 0.5 (200,00)",0.0,,,200.0,200.0,72.0,128,Pix,,,Enviei qrcode
351,Finalizado,22/05/2026 05:42:00,22/05/2026 00:00:00,22/05/2026 00:00:00,24/05/2026 06:23:53,5,"1x Loção 1G (380,00)
4x Conta-gotas 1ml (5,00)",0.0,,,400.0,400.0,143.64,256.36,Pix,,,
350,Finalizado,22/05/2026 05:38:49,,,24/05/2026 05:37:04,2,"2x Loção 1G (380,00)",0.0,,,760.0,760.0,284.0,476,Pix,,,
343,Finalizado,21/05/2026 23:15:03,,,21/05/2026 23:15:02,0.5,"0,1g x Brinquedo (400,00)
0,4g x Escova (400,00)",0.0,,,200.0,200.0,72.0,128,Fiado,,,Qrcode enviado
349,Finalizado,21/05/2026 05:38:04,,,24/05/2026 04:08:23,1,"1x Loção 1G (380,00)",0.0,,,380.0,380.0,142.0,238,Pix,,,Enviei 2 qrcode
348,Finalizado,21/05/2026 05:37:42,,,24/05/2026 04:03:58,2,"1x Loção 0.5 (200,00)
1x Hidratante 30ml (80,00)",0.0,,"10,00",290.0,290.0,82.0,198,Pix,,,Enviei qrcode
347,Finalizado,21/05/2026 04:01:29,,,24/05/2026 03:59:02,2,"1x Loção 0.5 (200,00)
1x Loção 1G (380,00)",0.0,,,580.0,580.0,214.0,366,Pix,,,Enviei qrcode
346,Finalizado,21/05/2026 03:49:02,21/05/2026 00:00:00,21/05/2026 00:00:00,24/05/2026 03:46:00,1,"1x Loção 1G (380,00)",0.0,,,380.0,380.0,142.0,238,Pix,,,
342,Finalizado,19/05/2026 00:21:37,,,19/05/2026 00:21:35,3,"1g x Escova Pro (200,00)
1x Caneta 15cm (40,00)
1x Hidratante 30ml (80,00)",0.0,,,320.0,320.0,154.4,165.6,Pix,,,
341,Finalizado,18/05/2026 23:23:36,,,18/05/2026 23:23:35,2,"2g x Escova Pro (200,00)",0.0,,,400.0,400.0,260.0,140,Pix,,,
340,Finalizado,18/05/2026 23:21:34,,,18/05/2026 23:21:33,2,"2g x Escova Pro (200,00)",0.0,,,400.0,400.0,260.0,140,Pix,,,
339,Finalizado,18/05/2026 23:20:48,,,18/05/2026 23:20:47,2,"2g x Escova Pro (200,00)",0.0,,,400.0,400.0,260.0,140,Pix,,,
333,Finalizado,18/05/2026 16:13:02,,,18/05/2026 16:13:18,1.5,"0,5g x Sabonete (400,00)
1x Caneta 15cm (40,00)",0.0,,,240.0,240.0,96.9,143.1,"Pix, Fiado",,,
337,Finalizado,18/05/2026 11:05:41,,,18/05/2026 16:11:39,0.25,"0,25g x Sabonete (400,00)",0.0,,,100.0,100.0,41.25,58.75,Pix,,,
336,Finalizado,18/05/2026 11:05:10,,,18/05/2026 11:05:09,0.5,"0,5g x Sabonete (0,00)",0.0,,,0.0,0.01,82.5,-82.5,Dinheiro,,,
335,Finalizado,18/05/2026 11:03:42,,,18/05/2026 11:03:41,0.5,"0,5g x Escova Pro (400,00)",0.0,,,200.0,200.0,65.0,135,Pix,,,
338,Finalizado,18/05/2026 07:16:17,,,18/05/2026 07:16:09,1,"1g x Escova Pro (380,00)",0.0,,,380.0,380.0,130.0,250,Pix,,,335 -> 338
332,Finalizado,17/05/2026 23:43:40,,,17/05/2026 23:43:39,0.5,"0,5g x Sabonete (400,00)",0.0,,,200.0,200.0,82.5,117.5,Cartão de Crédito,,,
331,Finalizado,17/05/2026 23:43:07,,,18/05/2026 16:14:12,1.5,"0,5g x Sabonete (400,00)
1x Medidor 200ml (50,00 - 35,00)",35.0,,"10,00",225.0,225.0,105.75,109.25,"Pix, Pix",,,
330,Finalizado,17/05/2026 21:59:31,,,17/05/2026 21:59:29,0.5,"0,5g x Sabonete (400,00)",0.0,,,200.0,200.0,82.5,117.5,Dinheiro,,,
328,Finalizado,17/05/2026 19:02:54,,,17/05/2026 19:02:53,0.5,"0,5g x Sabonete (400,00)",0.0,,"5,00",205.0,205.0,82.5,117.5,Pix,,,
327,Finalizado,17/05/2026 18:19:21,,,17/05/2026 18:19:20,2,"1g x Sabonete (380,00)
1x Hidratante 30ml (80,00)",10.0,,,450.0,450.0,175.0,275,Pix,,,
326,Finalizado,17/05/2026 17:51:24,,,17/05/2026 17:51:23,0.5,"0,5g x Escova Pro (400,00)",0.0,,,200.0,200.0,65.0,135,Pix,,,
325,Finalizado,17/05/2026 17:21:38,,,17/05/2026 17:21:36,0.5,"0,5g x Escova Pro (400,00)",0.0,,,200.0,200.0,65.0,135,Dinheiro,,,
324,Finalizado,17/05/2026 16:28:25,,,17/05/2026 16:28:24,1,"1g x Escova Pro (380,00)",0.0,,,380.0,380.0,130.0,250,Pix,,,
323,Finalizado,17/05/2026 05:51:24,,,17/05/2026 05:51:22,0.5,"0,5g x Escova Pro (400,00)",55.0,,,145.0,145.0,65.0,80,Pix,,,
321,Finalizado,17/05/2026 04:27:44,,,17/05/2026 04:27:42,0.5,"0,5g x Escova Pro (400,00)",0.0,,"10,00",210.0,210.0,65.0,135,Pix,,,
319,Finalizado,16/05/2026 23:57:14,,,17/05/2026 15:14:31,2,"1g x Sabonete (380,00)
1x Hidratante Brinde 30ml (0,00)",0.0,,,380.0,380.0,175.0,205,Pix,,,
316,Finalizado,16/05/2026 23:51:57,,,16/05/2026 23:58:43,1,"0,45g x Sabonete (380,00)
0,4g x Escova Pro (380,00)
0,15g x Brinquedo (380,00)",0.0,,,380.0,380.0,150.25,229.75,Pix,,,
317,Finalizado,16/05/2026 23:51:21,,,16/05/2026 23:58:30,1.5,"0,5g x Sabonete (400,00)
1x Hidratante Brinde 30ml (0,00)",0.0,,"10,00",210.0,210.0,92.5,107.5,Pix,,,
318,Finalizado,16/05/2026 23:45:33,,,29/05/2026 22:47:38,2,"1g x Sabonete (400,00)
1x Hidratante Brinde 30ml (0,00)",20.0,,,380.0,380.0,175.0,205,"Pix, Pix",,,
315,Finalizado,16/05/2026 22:44:18,,,16/05/2026 23:58:14,2,"0,54g x Sabonete (380,00)
0,46g x Escova Pro (380,00)
1x Hidratante Brinde 15ml (0,00)",0.0,,,380.0,380.0,158.9,221.10000000000001,Pix,,,
314,Finalizado,16/05/2026 21:24:34,,,16/05/2026 21:24:43,2.35,"1x Sabonete - 0.5 G (200,00)
1x Escova - 0.5 G (210,00)
0,2g x Escova Pro (400,00)
0,15g x Brinquedo (400,00)",170.0,,,380.0,380.0,197.5,182.5,Pix,,,
313,Finalizado,16/05/2026 13:52:27,,,16/05/2026 13:52:26,2,"1x Sabonete - 0.5 G (200,00)
1x Caneta 15cm (40,00)",72.0,,,168.0,168.0,96.9,71.1,Pix,,,
312,Finalizado,16/05/2026 13:51:16,,,16/05/2026 21:22:20,3,"1x Sabonete - 0.5 G (200,00)
1x Caneta 15cm (40,00)
1x Hidratante (80,00 - 30,00)",30.0,,,290.0,290.0,104.9,185.1,Pix,,,
311,Finalizado,16/05/2026 12:27:42,,,16/05/2026 12:27:41,0.5,"0,5g x Escova Pro (400,00)",0.0,,,200.0,200.0,65.0,135,Pix,,,
309,Finalizado,16/05/2026 12:20:00,,,16/05/2026 12:19:59,1,"1x Sabonete - 0.5 G (200,00)",0.0,,,200.0,200.0,82.5,117.5,Pix,,,
308,Finalizado,16/05/2026 08:48:01,,,16/05/2026 08:48:00,1,"1x Sabonete - 0.5 G (200,00)",0.0,,"10,00",210.0,210.0,82.5,117.5,Pix,,,
306,Finalizado,16/05/2026 06:20:21,,,16/05/2026 06:20:32,2,"1x Escova - 0.5 G (210,00)
1x Isqueiro Mini (40,00)",30.0,,,220.0,220.0,82.0,138,Pix,,,
305,Finalizado,16/05/2026 06:03:50,,,16/05/2026 06:03:49,1,"1x Sabonete - 1G (380,00)",30.0,,,350.0,350.0,165.0,185,Pix,,,
304,Finalizado,16/05/2026 06:03:22,,,16/05/2026 06:03:21,1,"1x Escova Outlet (380,00)",15.0,,,365.0,365.0,130.0,235,Pix,,,
322,Finalizado,16/05/2026 04:35:15,,16/05/2026 00:00:00,17/05/2026 04:34:26,2,"1g x Escova Pro (380,00)
1x Hidratante Brinde 15ml (0,00)",0.0,,,380.0,380.0,140.0,240,Pix,,,
